horas_estudio,horas_sueno,nivel_estres,asistencia_pct,promedio_notas,puntaje_final
9.5,8.6,3.9,89.6,10.0,64.2
28.0,8.1,5.3,100.0,10.0,94.1
16.3,7.3,6.2,95.2,10.0,80.7
25.9,6.4,4.9,88.1,10.0,88.4
14.4,8.1,3.8,78.6,10.0,81.5
22.5,4.8,8.0,87.7,10.0,90.4
15.5,8.3,3.7,100.0,10.0,70.4
8.8,8.5,2.5,84.4,10.0,71.3
15.5,6.0,5.8,76.2,10.0,75.8
17.3,7.1,3.9,64.1,10.0,74.3
20.9,4.9,7.1,75.7,10.0,88.9
13.3,6.9,4.0,94.2,10.0,88.8
21.1,6.3,7.0,93.6,10.0,85.1
16.4,5.4,5.6,89.0,10.0,76.7
6.1,7.3,4.2,70.1,10.0,70.5
23.9,9.0,3.1,83.2,10.0,88.5
24.5,8.2,2.1,72.0,10.0,85.4
15.9,6.5,5.4,58.8,10.0,67.0
16.9,8.8,4.1,84.5,10.0,81.4
14.9,8.1,1.0,56.6,10.0,76.3
20.3,9.5,2.2,75.4,10.0,86.9
