fecha,cliente,producto,cantidad,precio_unitario
2026-02-09,Cliente_09,Agua,3,500
2026-02-09,Cliente_22,Chocolate,3,750
2026-02-09,Cliente_23,Agua,1,500
2026-02-09,Cliente_11,Cigarrillos,4,3200
2026-02-10,Cliente_08,Gaseosa,4,900
2026-02-10,Cliente_20,Cigarrillos,1,3200
2026-02-10,Cliente_04,Chocolate,3,750
2026-02-10,Cliente_08,Agua,1,500
2026-02-10,Cliente_03,Cigarrillos,1,3200
2026-02-11,Cliente_03,Chocolate,3,750
2026-02-11,Cliente_18,Papas,3,1100
2026-02-12,Cliente_24,Chocolate,3,750
2026-02-12,Cliente_20,Papas,3,1100
2026-02-12,Cliente_01,Gaseosa,4,900
2026-02-13,Cliente_08,Chocolate,4,750
2026-02-13,Cliente_21,Agua,2,500
2026-02-13,Cliente_15,Agua,1,500
2026-02-13,Cliente_25,Cigarrillos,3,3200
2026-02-13,Cliente_19,Chocolate,1,750
2026-02-13,Cliente_09,Gaseosa,4,900
2026-02-13,Cliente_07,Gaseosa,1,900
2026-02-13,Cliente_08,Papas,2,1100
2026-02-13,Cliente_05,Chocolate,1,750
2026-02-13,Cliente_24,Papas,3,1100
2026-02-13,Cliente_10,Alfajor,4,600
2026-02-14,Cliente_05,Cigarrillos,2,3200
2026-02-14,Cliente_22,Gaseosa,4,900
2026-02-14,Cliente_25,Cigarrillos,4,3200
2026-02-14,Cliente_13,Papas,1,1100
2026-02-14,Cliente_23,Gaseosa,3,900
2026-02-14,Cliente_03,Papas,1,1100
2026-02-14,Cliente_22,Agua,1,500
2026-02-15,Cliente_22,Alfajor,2,600
2026-02-15,Cliente_24,Alfajor,1,600
2026-02-15,Cliente_17,Gaseosa,3,900
2026-02-15,Cliente_20,Agua,2,500
2026-02-16,Cliente_20,Agua,3,500
2026-02-16,Cliente_04,Cigarrillos,1,3200
2026-02-16,Cliente_01,Gaseosa,3,900
2026-02-16,Cliente_12,Alfajor,1,600
2026-02-16,Cliente_07,Papas,2,1100
2026-02-17,Cliente_05,Gaseosa,2,900
2026-02-17,Cliente_04,Papas,4,1100
2026-02-17,Cliente_24,Cigarrillos,1,3200
2026-02-18,Cliente_21,Cigarrillos,2,3200
2026-02-18,Cliente_24,Agua,2,500
2026-02-18,Cliente_20,Alfajor,1,600
2026-02-18,Cliente_08,Alfajor,3,600
2026-02-18,Cliente_21,Agua,4,500
2026-02-19,Cliente_03,Alfajor,2,600
2026-02-19,Cliente_13,Alfajor,2,600
2026-02-19,Cliente_03,Cigarrillos,3,3200
2026-02-19,Cliente_20,Papas,1,1100
2026-02-19,Cliente_14,Alfajor,1,600
2026-02-20,Cliente_12,Chocolate,2,750
2026-02-20,Cliente_03,Chocolate,3,750
2026-02-20,Cliente_02,Cigarrillos,4,3200
2026-02-20,Cliente_10,Alfajor,2,600
2026-02-20,Cliente_16,Gaseosa,4,900
2026-02-20,Cliente_23,Gaseosa,2,900
2026-02-20,Cliente_05,Cigarrillos,1,3200
2026-02-21,Cliente_03,Chocolate,1,750
2026-02-21,Cliente_15,Alfajor,4,600
2026-02-21,Cliente_18,Chocolate,2,750
2026-02-21,Cliente_17,Agua,4,500
2026-02-21,Cliente_02,Agua,1,500
2026-02-21,Cliente_21,Papas,1,1100
2026-02-21,Cliente_05,Cigarrillos,3,3200
2026-02-22,Cliente_23,Chocolate,4,750
2026-02-22,Cliente_01,Chocolate,4,750
2026-02-22,Cliente_17,Agua,1,500
2026-02-22,Cliente_13,Papas,3,1100
2026-02-22,Cliente_18,Cigarrillos,2,3200
2026-02-23,Cliente_14,Gaseosa,3,900
2026-02-23,Cliente_13,Chocolate,4,750
2026-02-23,Cliente_15,Agua,3,500
2026-02-23,Cliente_10,Gaseosa,2,900
2026-02-23,Cliente_15,Agua,2,500
2026-02-23,Cliente_06,Chocolate,2,750
2026-02-23,Cliente_03,Papas,4,1100
2026-02-23,Cliente_04,Chocolate,1,750
2026-02-24,Cliente_13,Papas,4,1100
2026-02-24,Cliente_06,Chocolate,1,750
2026-02-24,Cliente_14,Gaseosa,3,900
2026-02-25,Cliente_06,Gaseosa,3,900
2026-02-25,Cliente_17,Cigarrillos,2,3200
2026-02-25,Cliente_15,Cigarrillos,1,3200
2026-02-26,Cliente_11,Gaseosa,2,900
2026-02-26,Cliente_21,Alfajor,2,600
2026-02-26,Cliente_25,Cigarrillos,2,3200
2026-02-26,Cliente_10,Papas,3,1100
2026-02-26,Cliente_21,Papas,2,1100
2026-02-26,Cliente_12,Chocolate,1,750
2026-02-27,Cliente_07,Agua,3,500
2026-02-27,Cliente_16,Agua,2,500
2026-02-27,Cliente_19,Papas,4,1100
2026-02-27,Cliente_17,Chocolate,3,750
2026-02-27,Cliente_11,Gaseosa,3,900
2026-02-27,Cliente_14,Chocolate,3,750
2026-02-27,Cliente_24,Agua,2,500
2026-02-27,Cliente_07,Gaseosa,4,900
2026-02-28,Cliente_13,Papas,2,1100
2026-02-28,Cliente_10,Chocolate,2,750
2026-02-28,Cliente_07,Alfajor,1,600
2026-02-28,Cliente_02,Alfajor,2,600
2026-03-01,Cliente_35,Chocolate,1,750
2026-03-01,Cliente_27,Agua,1,500
2026-03-01,Cliente_30,Cigarrillos,1,3200
2026-03-01,Cliente_10,Gaseosa,3,900
2026-03-02,Cliente_07,Cigarrillos,3,3200
2026-03-02,Cliente_36,Cigarrillos,2,3200
2026-03-02,Cliente_06,Papas,4,1100
2026-03-02,Cliente_13,Chocolate,3,750
2026-03-02,Cliente_08,Chocolate,3,750
2026-03-02,Cliente_15,Alfajor,3,600
2026-03-02,Cliente_07,Cigarrillos,4,3200
2026-03-03,Cliente_32,Agua,1,500
2026-03-03,Cliente_35,Papas,4,1100
2026-03-03,Cliente_21,Agua,4,500
2026-03-03,Cliente_37,Chocolate,1,750
2026-03-03,Cliente_29,Agua,1,500
2026-03-03,Cliente_27,Chocolate,3,750
2026-03-03,Cliente_35,Cigarrillos,4,3200
2026-03-03,Cliente_10,Chocolate,2,750
2026-03-03,Cliente_08,Papas,2,1100
2026-03-04,Cliente_24,Chocolate,2,750
2026-03-04,Cliente_35,Papas,4,1100
2026-03-04,Cliente_37,Papas,3,1100
2026-03-04,Cliente_10,Gaseosa,2,900
2026-03-05,Cliente_41,Gaseosa,3,900
2026-03-05,Cliente_23,Cigarrillos,2,3200
2026-03-05,Cliente_24,Cigarrillos,2,3200
2026-03-05,Cliente_04,Gaseosa,1,900
2026-03-05,Cliente_16,Chocolate,3,750
2026-03-06,Cliente_08,Cigarrillos,2,3200
2026-03-06,Cliente_18,Cigarrillos,2,3200
2026-03-06,Cliente_06,Agua,3,500
2026-03-07,Cliente_13,Alfajor,2,600
2026-03-07,Cliente_30,Gaseosa,1,900
2026-03-07,Cliente_23,Papas,4,1100
2026-03-08,Cliente_08,Alfajor,1,600
2026-03-08,Cliente_35,Agua,2,500
2026-03-08,Cliente_21,Chocolate,1,750
2026-03-08,Cliente_25,Agua,4,500
2026-03-08,Cliente_38,Papas,1,1100
2026-03-09,Cliente_35,Papas,1,1100
2026-03-09,Cliente_26,Chocolate,3,750
2026-03-09,Cliente_26,Gaseosa,1,900
2026-03-09,Cliente_40,Cigarrillos,1,3200
2026-03-09,Cliente_18,Alfajor,1,600
2026-03-10,Cliente_16,Papas,2,1100
2026-03-10,Cliente_16,Papas,1,1100
2026-03-10,Cliente_26,Cigarrillos,4,3200
2026-03-11,Cliente_23,Agua,1,500
2026-03-11,Cliente_16,Alfajor,4,600
2026-03-11,Cliente_11,Gaseosa,3,900
2026-03-11,Cliente_24,Papas,2,1100
2026-03-12,Cliente_29,Gaseosa,4,900
2026-03-12,Cliente_34,Chocolate,4,750
2026-03-13,Cliente_36,Chocolate,4,750
2026-03-13,Cliente_38,Cigarrillos,3,3200
2026-03-13,Cliente_40,Alfajor,4,600
2026-03-13,Cliente_29,Agua,1,500
2026-03-13,Cliente_30,Agua,3,500
2026-03-13,Cliente_10,Chocolate,1,750
2026-03-14,Cliente_25,Chocolate,4,750
2026-03-14,Cliente_41,Cigarrillos,4,3200
2026-03-14,Cliente_30,Gaseosa,4,900
2026-03-14,Cliente_34,Papas,1,1100
2026-03-14,Cliente_32,Alfajor,3,600
2026-03-14,Cliente_30,Papas,3,1100
2026-03-15,Cliente_11,Chocolate,3,750
2026-03-15,Cliente_36,Cigarrillos,1,3200
2026-03-15,Cliente_25,Chocolate,2,750
2026-03-15,Cliente_40,Gaseosa,1,900
2026-03-16,Cliente_24,Gaseosa,2,900
2026-03-16,Cliente_34,Agua,4,500
2026-03-16,Cliente_15,Agua,2,500
2026-03-16,Cliente_27,Papas,4,1100
2026-03-16,Cliente_41,Agua,1,500
2026-03-16,Cliente_29,Chocolate,1,750
2026-03-16,Cliente_11,Agua,3,500
2026-03-17,Cliente_16,Cigarrillos,3,3200
2026-03-17,Cliente_08,Alfajor,4,600
2026-03-17,Cliente_33,Agua,1,500
2026-03-17,Cliente_35,Alfajor,2,600
2026-03-17,Cliente_15,Chocolate,2,750
2026-03-17,Cliente_15,Alfajor,3,600
2026-03-17,Cliente_26,Agua,3,500
2026-03-17,Cliente_28,Alfajor,2,600
2026-03-17,Cliente_37,Alfajor,2,600
2026-03-17,Cliente_39,Chocolate,4,750
2026-03-17,Cliente_28,Agua,3,500
2026-03-18,Cliente_08,Gaseosa,4,900
2026-03-18,Cliente_26,Chocolate,3,750
2026-03-18,Cliente_31,Alfajor,4,600
2026-03-19,Cliente_10,Cigarrillos,4,3200
2026-03-19,Cliente_40,Cigarrillos,4,3200
2026-03-19,Cliente_11,Papas,3,1100
2026-03-20,Cliente_23,Papas,4,1100
2026-03-20,Cliente_31,Chocolate,4,750
2026-03-20,Cliente_39,Papas,1,1100
2026-03-20,Cliente_33,Alfajor,4,600
2026-03-20,Cliente_30,Agua,1,500
2026-03-20,Cliente_31,Agua,3,500
2026-03-20,Cliente_38,Chocolate,4,750
2026-03-21,Cliente_36,Gaseosa,1,900
2026-03-21,Cliente_25,Gaseosa,2,900
2026-03-21,Cliente_37,Alfajor,1,600
2026-03-21,Cliente_30,Cigarrillos,1,3200
2026-03-22,Cliente_31,Agua,1,500
2026-03-22,Cliente_01,Agua,4,500
2026-03-22,Cliente_28,Cigarrillos,2,3200
2026-03-22,Cliente_11,Gaseosa,1,900
2026-03-23,Cliente_31,Chocolate,2,750
2026-03-23,Cliente_06,Cigarrillos,3,3200
2026-03-23,Cliente_26,Papas,3,1100
2026-03-23,Cliente_21,Agua,2,500
2026-03-23,Cliente_07,Chocolate,1,750
2026-03-24,Cliente_33,Agua,4,500
2026-03-24,Cliente_10,Cigarrillos,1,3200
2026-03-24,Cliente_04,Chocolate,2,750
2026-03-25,Cliente_16,Agua,2,500
2026-03-25,Cliente_30,Chocolate,4,750
2026-03-25,Cliente_28,Alfajor,4,600
2026-03-25,Cliente_32,Alfajor,2,600
2026-03-25,Cliente_38,Chocolate,2,750
2026-03-26,Cliente_07,Agua,3,500
2026-03-26,Cliente_34,Papas,3,1100
2026-03-27,Cliente_41,Gaseosa,3,900
2026-03-27,Cliente_07,Gaseosa,1,900
2026-03-27,Cliente_23,Gaseosa,2,900
2026-03-27,Cliente_40,Chocolate,4,750
2026-03-27,Cliente_18,Agua,2,500
2026-03-27,Cliente_29,Gaseosa,4,900
2026-03-27,Cliente_38,Gaseosa,4,900
2026-03-27,Cliente_13,Cigarrillos,1,3200
2026-03-27,Cliente_13,Papas,4,1100
2026-03-29,Cliente_27,Papas,2,1100
2026-03-29,Cliente_32,Chocolate,2,750
2026-03-29,Cliente_24,Cigarrillos,2,3200
2026-03-29,Cliente_27,Chocolate,4,750
2026-03-29,Cliente_26,Chocolate,2,750
2026-03-29,Cliente_39,Alfajor,3,600
2026-03-30,Cliente_37,Papas,1,1100
2026-03-30,Cliente_40,Chocolate,1,750
2026-03-30,Cliente_30,Agua,2,500
2026-03-30,Cliente_33,Alfajor,3,600
2026-03-30,Cliente_16,Alfajor,1,600
2026-03-30,Cliente_36,Papas,4,1100
2026-03-31,Cliente_29,Cigarrillos,3,3200
2026-03-31,Cliente_30,Papas,2,1100
2026-03-31,Cliente_04,Chocolate,3,750
2026-03-31,Cliente_25,Gaseosa,1,900
2026-03-31,Cliente_29,Cigarrillos,4,3200
